#,,,,Start,,,Highest Point,,,End,,,,,,
#,Date,Satellite,Brightness (mag),Time,Altitude,Azimuth,Time,Altitude,Azimuth,Time,Altitude,Azimuth,,,,
,13-Oct,STARLINK-3295,6,19:21:25,10°,SSE,19:22:36,11°,SSE,19:23:46,10°,SE,,,,
,13-Oct,STARLINK-1714,4.5,19:21:39,10°,SW,19:25:24,47°,NW,19:29:35,10°,NNE,,,,
,13-Oct,STARLINK-4344,7,19:21:44,10°,WNW,19:23:41,13°,W,19:25:40,10°,WSW,,,,
,13-Oct,STARLINK-4709,?,19:21:47,10°,NW,19:25:52,80°,NE,19:30:00,10°,SE,,,,
,13-Oct,STARLINK-1962,6.2,19:21:48,10°,W,19:25:07,22°,SW,19:28:34,10°,SSE,,,,
,13-Oct,STARLINK-4675,4,19:21:50,10°,NNW,19:25:23,36°,NE,19:28:55,10°,ESE,,,,
,13-Oct,STARLINK-1726,5.1,19:22:02,10°,WSW,19:25:28,34°,NW,19:29:29,10°,NNE,,,,
,13-Oct,STARLINK-3539,?,19:22:10,10°,WNW,19:27:05,35°,SW,19:31:44,10°,SSE,,,,
,13-Oct,STARLINK-3175,?,19:22:17,10°,NNE,19:24:55,17°,ENE,19:26:46,13°,E,,,,
,13-Oct,STARLINK-3980,3.6,19:22:18,10°,NNW,19:26:22,65°,NE,19:30:29,10°,SE,,,,
,13-Oct,STARLINK-4589,5.4,19:22:33,10°,WNW,19:26:17,33°,SW,19:30:02,10°,SSE,,,,
,13-Oct,STARLINK-2317,4.7,19:22:39,10°,WSW,19:26:02,35°,NW,19:29:24,10°,NNE,,,,
,13-Oct,STARLINK-1633,4.7,19:22:41,10°,SSW,19:27:30,44°,SE,19:31:43,14°,ENE,,,,
,13-Oct,STARLINK-1571,6.8,19:22:53,10°,WNW,19:24:04,11°,WNW,19:25:16,10°,NW,,,,
,13-Oct,STARLINK-1617,4.9,19:23:05,10°,N,19:27:05,26°,NE,19:30:51,10°,ESE,,,,
,13-Oct,STARLINK-2491,4.3,19:23:13,10°,WNW,19:26:15,40°,SW,19:29:19,10°,SSE,,,,
,13-Oct,STARLINK-2531,4,19:23:20,10°,SW,19:27:56,60°,SE,19:31:50,14°,NE,,,,
,13-Oct,STARLINK-4055,4.5,19:23:22,10°,SSW,19:27:14,35°,SE,19:30:12,15°,ENE,,,,
,13-Oct,STARLINK-1320,8,19:23:52,10°,W,19:36:16,36°,SSW,19:49:07,10°,SE,,,,
,13-Oct,OBJECT BC,?,19:23:58,10°,SSE,19:26:56,66°,E,19:29:50,10°,N,,,,
,13-Oct,STARLINK-4002,3.5,19:24:01,10°,NW,19:28:07,82°,NE,19:32:16,10°,SE,,,,
,13-Oct,STARLINK-1620,4.1,19:24:03,10°,SW,19:29:08,57°,SE,19:32:27,15°,ENE,,,,
,13-Oct,STARLINK-3954,5.3,19:24:04,10°,WSW,19:26:47,23°,NW,19:29:32,10°,N,,,,
,13-Oct,FALCON 9 DEB,?,19:24:04,10°,N,19:26:04,24°,NE,19:27:16,16°,E,,,,
,13-Oct,STARLINK-4096,6,19:24:09,10°,SSE,19:24:20,10°,SSE,19:24:33,10°,SSE,,,,
,13-Oct,STARLINK-3097,6.2,19:24:12,10°,W,19:27:23,21°,SW,19:30:24,10°,S,,,,
,13-Oct,STARLINK-1894,5.5,19:24:14,10°,S,19:27:00,17°,SE,19:29:34,11°,ESE,,,,
,13-Oct,STARLINK-1586,3.9,19:24:24,10°,NW,19:29:06,82°,NE,19:33:47,10°,SE,,,,
,13-Oct,STARLINK-3243,?,19:24:24,10°,WSW,19:26:39,14°,SSW,19:28:54,10°,S,,,,
,13-Oct,STARLINK-1656,6.6,19:24:25,10°,WSW,19:26:45,14°,SSW,19:29:07,10°,S,,,,
,13-Oct,STARLINK-2292,6.3,19:24:32,10°,WSW,19:28:40,25°,NW,19:33:06,10°,N,,,,
,13-Oct,STARLINK-4685,6.5,19:24:37,10°,WSW,19:26:32,13°,SSW,19:28:26,10°,S,,,,
,13-Oct,FALCON 9 DEB,?,19:24:50,10°,SSW,19:28:35,26°,SE,19:31:25,14°,E,,,,
,13-Oct,STARLINK-4060,5.9,19:24:50,10°,S,19:27:02,14°,SSE,19:29:13,10°,ESE,,,,
,13-Oct,STARLINK-3663,?,19:24:55,10°,NW,19:28:10,74°,NE,19:31:19,10°,SE,,,,
,13-Oct,STARLINK-2581,6.1,19:25:00,10°,S,19:28:05,16°,SSE,19:31:14,10°,ESE,,,,
,13-Oct,STARLINK-4536,?,19:25:01,10°,NW,19:29:05,82°,NE,19:33:12,10°,SE,,,,
,13-Oct,STARLINK-1129,3.9,19:25:12,10°,NNW,19:28:58,42°,NE,19:32:45,10°,ESE,,,,
,13-Oct,STARLINK-4747,5.7,19:25:20,10°,NE,19:25:27,10°,NE,19:25:27,10°,NE,,,,
,13-Oct,STARLINK-1139,3.9,19:25:21,10°,SSW,19:28:26,34°,SE,19:30:34,17°,ENE,,,,
,13-Oct,STARLINK-2418,6,19:25:21,10°,WSW,19:27:24,16°,SW,19:29:32,10°,S,,,,
,13-Oct,STARLINK-2053,6.2,19:25:30,10°,WSW,19:27:34,15°,SW,19:29:39,10°,S,,,,
,13-Oct,STARLINK-2098,4.1,19:25:31,10°,NW,19:29:40,68°,SW,19:34:03,10°,SE,,,,
